x,y,phase
-71.022,-36.822,0.42387503
-71.476,-35.931,0.42586446
-71.92,-35.035,0.42785388
-72.352,-34.133,0.4298433
-72.773,-33.226,0.43183273
-73.183,-32.314,0.43382215
-73.581,-31.397,0.43581158
-73.968,-30.474,0.437801
-74.343,-29.547,0.43979043
-74.706,-28.616,0.44177985
-75.058,-27.68,0.44376928
-75.398,-26.739,0.4457587
-75.727,-25.795,0.44774812
-76.043,-24.846,0.44973755
-76.348,-23.894,0.45172697
-76.64,-22.938,0.4537164
-76.921,-21.978,0.45570582
-77.19,-21.015,0.45769525
-77.447,-20.048,0.45968467
-77.691,-19.079,0.4616741
-77.924,-18.106,0.46366352
-78.144,-17.131,0.46565294
-78.352,-16.152,0.46764237
-78.548,-15.172001,0.4696318
-78.731,-14.189,0.47162122
-78.902,-13.204,0.47361064
-79.061,-12.216,0.47560006
-79.208,-11.227,0.4775895
-79.342,-10.236,0.4795789
-79.464,-9.244,0.48156834
-79.573,-8.25,0.48355776
-79.67,-7.2539997,0.48554718
-79.754,-6.258,0.4875366
-79.826,-5.26,0.48952603
-79.886,-4.262,0.49151546
-79.933,-3.263,0.49350488
-79.967,-2.264,0.3954943
-79.88207,-1.0666261,0.3935049
-79.67207,0.11537397,0.39151546
-79.34007,1.268374,0.38952604
-78.88908,2.380374,0.38753662
-78.32407,3.439374,0.3855472
-77.65208,4.433374,0.38355777
-76.879074,5.351374,0.38156834
-76.015076,6.183374,0.37957892
-75.06808,6.920374,0.3775895
-74.04907,7.555374,0.37560007
-72.96908,8.080374,0.37361065
-71.84107,8.489374,0.37162122
-70.67607,8.778374,0.3696318
-69.487076,8.943375,0.36764237
-68.28707,8.983374,0.36565295
-67.08907,8.898375,0.36366352
-65.907074,8.688374,0.3616741
-64.753075,8.356374,0.35968468
-63.64008,7.905374,0.35769525
-62.580082,7.340374,0.35570583
-61.58508,6.668374,0.3537164
-60.66608,5.895374,0.35172698
-59.83308,5.031374,0.34973755
-59.09508,4.084374,0.34774813
-58.45908,3.065374,0.3457587
-57.93308,1.985374,0.34376928
-57.523075,0.858374,0.34177986
-57.23308,-0.30562603,0.33979043
-56.968075,-1.475626,0.337801
-56.691082,-2.642626,0.3358116
-56.40208,-3.8066258,0.33382216
-56.101078,-4.967626,0.33183274
-55.787075,-6.125626,0.3298433
-55.46108,-7.279626,0.3278539
-55.12208,-8.430626,0.32586446
-54.770077,-9.577626,0.32387504
-54.40608,-10.720626,0.32188562
-54.02908,-11.859626,0.3198962
-53.63908,-12.994626,0.31790677
-53.23608,-14.124626,0.31591734
-52.82008,-15.249626,0.31392792
-52.39108,-16.369625,0.3119385
-51.949078,-17.484627,0.30994907
-51.49408,-18.594625,0.30795965
-51.025078,-19.698626,0.30597022
-50.54308,-20.797626,0.3039808
-50.048077,-21.890627,0.30199137
-49.539078,-22.977627,0.30000195
-49.01708,-24.057627,0.29801252
-48.48208,-25.131626,0.2960231
-47.93308,-26.198626,0.29403368
-47.37108,-27.258625,0.29204425
-46.79508,-28.310625,0.29005483
-46.20508,-29.355625,0.2880654
-45.602077,-30.392626,0.28607598
-44.985077,-31.421627,0.28408656
-44.35508,-32.442627,0.28209713
-43.71108,-33.454624,0.2801077
-43.053078,-34.458626,0.27811828
